Type zone humide,Effectifs,Min,Moyenne,Max,Indicateur
3.2,4,0.9,1.1,1.5,A01
3.3,4,0.2,0.8,1.7,A01
5.0,16,0.2,0.8,2.3,A01
6.0,26,0.5,1.2,2.6,A01
7.1,4,1.7,2.9,3.7,A01
7.2,20,1.0,2.6,5.0,A01
7.3,15,0.5,2.2,3.6,A01
7.5,4,1.6,2.6,3.2,A01
9.2,5,2.7,3.0,3.7,A01
10.1,13,0.7,2.2,3.3,A01
10.2,8,0.9,1.6,2.2,A01
11.12,4,0.0,0.6,1.3,A01
11.13,5,0.3,0.8,2.0,A01
11.2,4,0.9,2.2,5.0,A01
3.2,4,6.8,7.1,7.3,A02
3.3,4,4.8,6.5,7.2,A02
5.0,18,3.4,5.0,6.4,A02
6.0,26,4.7,6.2,8.0,A02
7.1,8,5.8,6.7,7.4,A02
7.2,24,4.5,6.6,7.8,A02
7.3,22,5.0,7.4,8.2,A02
7.4,6,3.5,5.8,7.5,A02
9.2,6,6.8,7.1,7.5,A02
10.1,15,4.7,6.8,7.8,A02
10.2,14,4.7,6.4,7.5,A02
11.12,6,4.7,7.2,8.0,A02
11.13,6,4.2,5.4,8.0,A02
11.2,4,4.5,6.6,7.4,A02
3.2,4,3.6,3.9,4.0,A06
3.3,4,3.6,3.9,4.0,A06
5.0,18,2.4,3.3,3.8,A06
6.0,26,2.2,3.5,3.9,A06
7.1,8,1.4,2.1,2.9,A06
7.2,24,1.0,2.4,3.0,A06
7.3,22,2.0,2.8,3.4,A06
7.4,6,1.5,2.5,3.1,A06
9.2,6,2.0,2.9,3.3,A06
10.1,15,2.0,2.9,3.6,A06
10.2,14,2.6,3.0,3.6,A06
11.12,6,3.0,3.4,4.0,A06
11.13,6,2.7,3.0,3.5,A06
11.2,4,2.2,3.4,4.0,A06
3.2,4,1.0,3.0,5.0,A08
3.3,4,2.0,4.0,5.0,A08
5.0,18,2.0,9.0,16.0,A08
6.0,26,7.0,13.0,25.0,A08
7.1,8,13.0,21.0,30.0,A08
7.2,24,8.0,19.0,26.0,A08
7.3,22,3.0,19.0,27.0,A08
7.4,6,5.0,14.0,25.0,A08
9.0,6,13.0,19.0,22.0,A08
10.1,15,8.0,18.0,23.0,A08
10.2,14,11.0,16.0,20.0,A08
11.12,6,4.0,8.0,13.0,A08
11.13,6,6.0,10.0,14.0,A08
11.2,4,4.0,12.0,18.0,A08
