id_site;surface;ratio
37;2676;0.25000000000000000000
1;28663;0.25000000000000000000
7;28651;0.26128232871453003386
26;17474;0.26186047842508870322
29;5159;0.32641984880790850940
15;28724;0.32784431137724550898
18;9252;0.40069714656290531777
23;9513;0.40838852097130242826
27;34044;0.41759193984255669134
14;5624;0.44905761024182076814
30;95617;0.49438384387713481912
46;194485;0.49471810165308378538
2;3491;0.50000000000000000000
44;23626;0.50000000000000000000
21;20525;0.50000000000000000000
3;2285;0.50000000000000000000
22;83127;0.53935845152597832233
8;55469;0.54327191764769510898
41;72394;0.56234632704367765284
28;25536;0.57055725250626566416
34;61844;0.60613802470732811590
31;42083;0.60883254520827887746
32;4230;0.61465721040189125296
25;82603;0.61864278537099136835
10;254780;0.64495250804615746919
17;23095;0.66794760770729595150
11;36525;0.67863791923340177960
24;60576;0.68069037242472266244
45;4280;0.68084112149532710280
12;50576;0.70380714172730148687
33;58365;0.70895656643536365973
4;83410;0.71322083683011629301
42;187242;0.73087635252774484357
20;71252;0.73362151237859989895
35;136366;0.75839102122229881349
16;27859;0.77722639003553609247
43;31562;0.82605665040238261200
13;8112;0.84282544378698224852
40;27506;0.86855595142877917545
5;62016;0.87998258513931888545
38;117016;0.94242240377384289328
36;5701;0.96684792141729521137
6;22255;0.97643226241294091215
9;80990;0.97657118162736140264
19;45804;1.00000000000000000000
39;2482;1.00000000000000000000
