id;nom_site;geojson;surface;etat
1;Plateau de la Céva;{"type":"MultiPolygon","coordinates":[[[[7.49647178653057,44.0203791701891],[7.49642382473516,44.0204108321913],[7.49642696977093,44.0205436993373],[7.49632082481386,44.0205499186432],[7.49623984014292,44.0206075885398],[7.49613998525739,44.0205855382918],[7.49612268756068,44.020616634793],[7.49620445849056,44.0206686507221],[7.49627364927739,44.0206709122832],[7.49644033617293,44.0206618660383],[7.49649537429882,44.0205894960293],[7.49647335904846,44.0205046873125],[7.49647178653057,44.0203791701891]]]]};351.0;moyen
2;Col du Sabion;{"type":"MultiPolygon","coordinates":[[[[7.4730002805187,44.1256478606443],[7.4730288090293,44.1256258072107],[7.47304197603419,44.1255832755656],[7.47296736300647,44.1254934864364],[7.4730573375399,44.1254162991812],[7.47296516850566,44.1253564396076],[7.47298053001137,44.1252902789558],[7.47289933348121,44.1252666501337],[7.47288616647631,44.1252052151518],[7.47282033145185,44.1251815862956],[7.47276985793311,44.1251957636104],[7.47273694042088,44.1252981552278],[7.47257454736056,44.1252761016637],[7.47255260235241,44.1253359613186],[7.47260527037197,44.125386369402],[7.47259649236871,44.1254304764397],[7.47253504634588,44.1254210249344],[7.47245165531491,44.1254336269411],[7.47230242925948,44.1254462289452],[7.47227170624806,44.1255249914095],[7.47231120726274,44.125597452784],[7.47227609524969,44.1256510111341],[7.4724648223198,44.1256919674868],[7.47262721538012,44.1256258072107],[7.4727676634323,44.1256667635808],[7.47285105446327,44.1257486762358],[7.4730002805187,44.1256478606443]]]]};2204.0;bon
3;Sanguinière;{"type":"MultiPolygon","coordinates":[[[[6.77031929080143,44.2848153407926],[6.77041773039241,44.2847331248971],[6.77041773039241,44.2845099668865],[6.77018803801347,44.2845158394766],[6.76998295553227,44.2847096346201],[6.76981068624807,44.2849504095139],[6.77013881821798,44.28493866442],[6.77031929080143,44.2848153407926]]]]};1401.0;moyen
4;Lac de la Fous;{"type":"MultiPolygon","coordinates":[[[[7.39556894490823,44.0964000698211],[7.39585327089998,44.0962814161974],[7.39587632435877,44.0961489653594],[7.39587248211564,44.0958095587329],[7.39587248211564,44.0956384749795],[7.39579179500987,44.0957322951636],[7.39545751985742,44.0958095587329],[7.39531151461842,44.0958123181442],[7.39536914826539,44.0961600029406],[7.39556894490823,44.0964000698211]]]]};2550.0;moyen
5;Plateau de la Céva;{"type":"MultiPolygon","coordinates":[[[[7.49775967867631,44.02170782896],[7.49780999924855,44.0216942598295],[7.49783515953466,44.0216399832761],[7.49777225881937,44.0215449991882],[7.49773451839019,44.021418353501],[7.49772822831866,44.0212917075431],[7.49750807581511,44.0211243535411],[7.49740743467064,44.0211153073654],[7.49740743467064,44.0211650613148],[7.49753952617276,44.0212690921651],[7.49750807581511,44.0213007536919],[7.497482915529,44.0213595536256],[7.49758355667347,44.0214500149481],[7.49759613681653,44.0215585683529],[7.49763387724571,44.0215902297252],[7.49769048788948,44.02170782896],[7.49775967867631,44.02170782896]]]]};912.0;moyen
6;Plateau de la Céva;{"type":"MultiPolygon","coordinates":[[[[7.49720929741743,44.0207562861516],[7.49710865627296,44.0206228540913],[7.49698599987812,44.0206613006479],[7.49697341973507,44.0207291474518],[7.49687277859059,44.0208015172904],[7.49686019844754,44.020966610654],[7.49692624419859,44.0210638572146],[7.49701745023577,44.0210706418524],[7.49710551123719,44.021007318536],[7.49708349598684,44.020955302904],[7.49699543498542,44.0208897179117],[7.49720929741743,44.0207562861516]]]]};748.0;mauvais
7;Merveilles;{"type":"MultiPolygon","coordinates":[[[[7.45345275649853,44.057716177536],[7.45364837670959,44.0576723262126],[7.45385706432563,44.0576099992247],[7.4540783373207,44.057602484246],[7.45428592508976,44.0575790781721],[7.45442617127597,44.0575165466448],[7.45450459588457,44.0575118575602],[7.45461620723164,44.0575073121276],[7.45472185138818,44.0575060001436],[7.4548164607751,44.057496165869],[7.45487121583501,44.0574804783784],[7.45489208374242,44.0574557041605],[7.45483959476401,44.057447375071],[7.45463704107023,44.0574556245184],[7.45451692888054,44.0574575256385],[7.45441381856421,44.0574647153123],[7.45434919588644,44.0574867854877],[7.4542751384855,44.0574942871524],[7.45415611058408,44.0575365159524],[7.45401139518909,44.0575154941098],[7.45391713575231,44.0575297992351],[7.45380884113303,44.0575237420255],[7.45376075318815,44.0575451385691],[7.45366169340526,44.0575775821412],[7.45363209059257,44.0575967306921],[7.45348065840298,44.0576223349229],[7.45335882901835,44.0576287904751],[7.45334841149199,44.0576546341608],[7.45335694599743,44.0576841920283],[7.45340221768228,44.0577062730864],[7.45345275649853,44.057716177536]]]]};968.0;moyen
8;Lac Vert de Fontanalbe et lacs Gias Pasteur;{"type":"MultiPolygon","coordinates":[[[[7.46898062507678,44.0896804603997],[7.46900316167555,44.0896622660422],[7.46902614944368,44.0896498112779],[7.46905664938995,44.0896312917189],[7.46908624693721,44.089601292957],[7.46910810668353,44.0895744891826],[7.46913657618881,44.0895301414154],[7.46917278340421,44.0894825986427],[7.469183149239,44.0894620222527],[7.46921514910019,44.0894117722704],[7.46924384404244,44.0893702942772],[7.46927276454594,44.0893316860753],[7.4692764414148,44.0892768347084],[7.46925682595957,44.0891797493977],[7.46922308877514,44.0891062728796],[7.46920468058914,44.0890753555137],[7.46918664450715,44.0889983587835],[7.46917199241959,44.0889644090154],[7.46915658447895,44.0888700309003],[7.46914373719926,44.0888590395096],[7.46913464596238,44.0888450157211],[7.46910737227865,44.0888029443518],[7.46908122659105,44.0887752219636],[7.46906372095005,44.088755783769],[7.46905462974939,44.0887417599747],[7.469003692029,44.0887035339536],[7.46896958319663,44.0886761367284],[7.46891226143121,44.088658324434],[7.46887244523591,44.0886599503365],[7.46885809781375,44.0886806892772],[7.46883909202234,44.0886929814114],[7.46882654920477,44.0887366787308],[7.46886065800458,44.0887640760013],[7.46886494402969,44.0888186021607],[7.46887891915257,44.0888439425733],[7.46889071730956,44.0888924039582],[7.46888523543763,44.0889242969164],[7.46882912012928,44.0889726525212],[7.4687793889771,44.0890005943377],[7.46874468205825,44.0890164065996],[7.46872349907785,44.0890518196889],[7.46869743212864,44.0890759161634],[7.46869638292847,44.0891133861294],[7.46869465700727,44.0891422466999],[7.46868894942838,44.0891712698537],[7.46869097958638,44.0891970980433],[7.4687011986391,44.0892254708656],[7.46870367995273,44.0892570386535],[7.46871344787314,44.0892796718777],[7.46871878298624,44.0892967280875],[7.46870774029006,44.0893086950347],[7.46868144764326,44.0893299217098],[7.46867040493279,44.0893418886535],[7.46868242858899,44.0893932198733],[7.46864794697565,44.0894119019071],[7.46865110498441,44.0894520790974],[7.46865336070768,44.0894807770909],[7.46864276910595,44.0894984836317],[7.46864014085804,44.0895158650095],[7.46864705497761,44.0895530098215],[7.46863248167643,44.0895708789432],[7.46860551216902,44.0895834962044],[7.46858387775199,44.0896131696782],[7.46859237083692,44.0896704030942],[7.46861738884021,44.0896837766138],[7.46862978506021,44.0896890284716],[7.46865765690598,44.0896878904025],[7.4686886081425,44.089675110545],[7.46874037012605,44.0896729969547],[7.46878416872452,44.0896712085131],[7.4688200039394,44.0896697452296],[7.46889167436362,44.0896668186275],[7.46893239361176,44.0896766719136],[7.46898062507678,44.0896804603997]]]]};3890.0;bon
9;Vallon de la Braissette;{"type":"MultiPolygon","coordinates":[[[[6.78705164935823,44.3004584953986],[6.7872283999774,44.3004616037185],[6.78748206261783,44.3004651333611],[6.78758524046624,44.3003685305934],[6.78761271658692,44.3002684005651],[6.78766029529916,44.300192116361],[6.78737935293439,44.3001639794032],[6.78726860218348,44.3001258747765],[6.78722962368325,44.3000965335802],[6.78712460100104,44.3001441308839],[6.78696374784758,44.3001445567666],[6.78686896701493,44.3001324857935],[6.78684735658249,44.3001925366442],[6.78690757458312,44.3002201185537],[6.78696468140344,44.3002651732157],[6.7869716951628,44.3003273104445],[6.78694267085137,44.3004469138528],[6.78692536832896,44.3004863686921],[6.78693215998134,44.3005239657134],[6.78699715871578,44.3005166156669],[6.78705164935823,44.3004584953986]]]]};1875.0;moyen
10;Lac Allos;{"type":"MultiPolygon","coordinates":[[[[6.71167338363754,44.2488261177207],[6.71166538760228,44.2488560344804],[6.71170228827452,44.2488547867855],[6.71184179758068,44.2488347417295],[6.71203960595532,44.2488362259521],[6.71203640115286,44.248787260066],[6.71187560682793,44.248721131423],[6.71177327806322,44.2487440103688],[6.71167338363754,44.2488261177207]]]]};272.0;moyen
